Location_1,Location_2,Difference,StdErr,pValue,Lower,Upper,Pretrain,Ratio
L2,L3,0.0166578192139547,0.00207782485936345,2.69556911453533e-09,0.0114598122414421,0.0218558261864672,Object,4
L3,L1,-0.0127642308631018,0.0196880237905317,1,-0.0620169310976772,0.0364884693714736,Object,4
L3,L2,-0.0166578192139547,0.00207782485936345,2.69556911453533e-09,-0.0218558261864672,-0.0114598122414421,Object,4
L1,L2,0.00519285002905959,0.00307539024769573,0.297881215706694,-0.00250072427711021,0.0128864243352294,Object,8
L1,L3,-0.00455090868055429,0.00167811062342455,0.0296973010440579,-0.00874896737732072,-0.000352849983787851,Object,8
L2,L1,-0.00519285002905959,0.00307539024769573,0.297881215706694,-0.0128864243352294,0.00250072427711021,Object,8
L2,L3,-0.00974375870961387,0.00462009334345399,0.124253402062251,-0.0213016517171554,0.00181413429792762,Object,8
L3,L1,0.00455090868055429,0.00167811062342455,0.0296973010440579,0.000352849983787851,0.00874896737732072,Object,8
L3,L2,0.00974375870961387,0.00462009334345399,0.124253402062251,-0.00181413429792762,0.0213016517171554,Object,8
L1,L2,-0.0326377179166744,0.00873951407689123,0.0018008412758935,-0.0545009923420123,-0.0107744434913365,Object,16
L1,L3,-0.0789741703108302,0.0144754098897467,8.84487579763649e-06,-0.115186693805198,-0.0427616468164622,Object,16
L2,L1,0.0326377179166744,0.00873951407689123,0.0018008412758935,0.0107744434913365,0.0545009923420123,Object,16
L2,L3,-0.0463364523941558,0.0203629605960215,0.0853453955606814,-0.0972776136196235,0.00460470883131193,Object,16
L3,L1,0.0789741703108302,0.0144754098897467,8.84487579763649e-06,0.0427616468164622,0.115186693805198,Object,16
L3,L2,0.0463364523941558,0.0203629605960215,0.0853453955606814,-0.00460470883131193,0.0972776136196235,Object,16
L1,L2,0.00753486940801044,0.0218730905276626,1,-0.047184120289716,0.0622538591057369,Object,32
L1,L3,-0.0224505353618048,0.00131800287031779,3.49405841975692e-19,-0.0257477276534603,-0.0191533430701493,Object,32
L2,L1,-0.00753486940801044,0.0218730905276626,1,-0.0622538591057369,0.047184120289716,Object,32
L2,L3,-0.0299854047698152,0.0224031569117468,0.565506778574438,-0.0860304392243691,0.0260596296847386,Object,32
L3,L1,0.0224505353618048,0.00131800287031779,3.49405841975692e-19,0.0191533430701493,0.0257477276534603,Object,32
L3,L2,0.0299854047698152,0.0224031569117468,0.565506778574438,-0.0260596296847386,0.0860304392243691,Object,32
