SubjectID,Face_L1_R2,Face_L1_R4,Face_L1_R8,Face_L1_R16,Face_L1_R32,Face_L2_R2,Face_L2_R4,Face_L2_R8,Face_L2_R16,Face_L2_R32,Face_L3_R2,Face_L3_R4,Face_L3_R8,Face_L3_R16,Face_L3_R32,Object_L1_R2,Object_L1_R4,Object_L1_R8,Object_L1_R16,Object_L1_R32,Object_L2_R2,Object_L2_R4,Object_L2_R8,Object_L2_R16,Object_L2_R32,Object_L3_R2,Object_L3_R4,Object_L3_R8,Object_L3_R16,Object_L3_R32
34,0.0882367568870675,0.223177621324359,0.204757725237722,0.00613437958682861,0.0253834287171249,0.199374881567507,0.0940929116355669,0.111180931667225,0.096661376594161,0.160947259739467,0.106561765670996,0.0694243839431328,0.210228025108456,0.0104147483351817,0.0146947207824674,0.198236741706644,0.0917086252633765,0.0444012680896614,0.00193203010830245,0.131447131366743,0.113106686808934,0.118646885425806,0.0241104908371055,0.0698212007924848,0.101314807148338,0.166790007871809,0.0972704554536468,0.0558934197988187,0.148253518709451,0.155661228510964
35,0.0937287087501356,0.228669573187427,0.21024967710079,0.0116263314498967,0.030875380580193,0.204866833430576,0.099584863498635,0.116672883530294,0.102153328457229,0.166439211602535,0.112053717534064,0.0749163358062008,0.215719976971524,0.0159067001982498,0.0201866726455354,0.203728693569712,0.0862166734003085,0.0498932199527295,0.0035599217547656,0.136939083229811,0.107614734945866,0.124138837288874,0.0296024427001735,0.0643292489294167,0.0958228552852696,0.172281959734877,0.102762407316715,0.0613853716618868,0.153745470572519,0.161153180374032
36,0.0453773808248316,0.180318245262123,0.161898349175486,0.0367249964754073,0.017475947345111,0.156515505505272,0.051233535573331,0.0683215556049895,0.053802000531925,0.118087883677231,0.0637023896087598,0.0265650078808968,0.16736864904622,0.0324446277270542,0.0281646552797686,0.155377365644408,0.134568001325612,0.0015418920274255,0.0447914061705384,0.0885877553045068,0.15596606287117,0.0757875093635699,0.0187488852251305,0.112680576854721,0.144174183210574,0.123930631809573,0.0544110793914109,0.0130340437365828,0.105394142647215,0.112801852448728
37,0.119396085611826,0.015544778825465,0.00287511726117246,0.201498462912065,0.182249413781769,0.00825796093138648,0.113539930863327,0.0964519108316685,0.110971465904733,0.0466855827594274,0.101071076827898,0.138208458555761,0.00259518260956193,0.197218094163712,0.192938121716427,0.0093961007922499,0.29934146776227,0.163231574409233,0.209564872607196,0.0761857111321512,0.320739529307828,0.0889859570730882,0.183522351661788,0.277454043291379,0.308947649647232,0.0408428346270847,0.110362387045247,0.151739422700075,0.0593793237894426,0.0519716139879299
38,0.0928156397142455,0.227756504151537,0.2093366080649,0.0107132624140066,0.0299623115443029,0.203953764394685,0.0986717944627449,0.115759814494403,0.101240259421339,0.165526142566645,0.111140648498174,0.0740032667703108,0.214806907935634,0.0149936311623597,0.0192736036096454,0.202815624533822,0.0871297424361985,0.0489801509168394,0.00264685271887555,0.136026014193921,0.108527803981756,0.123225768252984,0.0286893736642835,0.0652423179653068,0.0967359243211596,0.171368890698987,0.101849338280825,0.0604723026259967,0.152832401536629,0.160240111338142
39,0.0651890292509855,0.200129893688277,0.18170999760164,0.0169133480492534,0.00233570108104292,0.176327153931426,0.071045183999485,0.0881332040311435,0.073613648958079,0.137899532103385,0.0835140380349138,0.0463766563070508,0.187180297472374,0.0126329793009002,0.00835300685361462,0.175189014070562,0.114756352899459,0.0213535404535795,0.0249797577443844,0.108399403730661,0.136154414445016,0.0955991577897238,0.0010627632010235,0.0928689284285668,0.12436253478442,0.143742280235727,0.0742227278175648,0.0328456921627368,0.125205791073369,0.132613500874882
41,0.0169146402266795,0.151855504663971,0.133435608577334,0.0651877370735593,0.0459386879432631,0.12805276490712,0.022770794975179,0.0398588150068375,0.025339259933773,0.0896251430790786,0.0352396490106078,0.00189773271725518,0.138905908448068,0.0609073683252062,0.0566273958779206,0.126914625046256,0.163030741923764,0.0269208485707265,0.0732541467686904,0.0601250147063548,0.184428803469322,0.0473247687654179,0.0472116258232825,0.141143317452873,0.172636923808726,0.0954678912114214,0.0259483387932589,0.0154286968615692,0.0769314020490634,0.0843391118505761
42,0.167375069681723,0.302315934119015,0.283896038032378,0.0852726923814846,0.104521741511781,0.278513194362163,0.173231224430223,0.190319244461881,0.175799689388817,0.240085572534123,0.185700078465652,0.148562696737789,0.289366337903112,0.0895530611298377,0.0938330335771234,0.2773750545013,0.0125703124687205,0.123539580884317,0.0772062826863535,0.210585444161399,0.0339683740142778,0.197785198220462,0.103248803631761,0.00931711200217122,0.0221764943536816,0.245928320666465,0.176408768248303,0.135031732593475,0.227391831504107,0.23479954130562
43,0.0742242610286185,0.20916512546591,0.190745229379273,0.00787811627162038,0.0113709328586759,0.185362385709058,0.0800804157771179,0.0971684358087765,0.082648880735712,0.146934763881018,0.0925492698125467,0.0554118880846838,0.196215529250007,0.00359774752326725,0.000682224924018371,0.184224245848195,0.105721121121826,0.0303887722312124,0.0159445259667514,0.117434635508294,0.127119182667383,0.104634389567357,0.0100979949786565,0.0838336966509338,0.115327303006787,0.15277751201336,0.0832579595951978,0.0418809239403697,0.134241022851002,0.141648732652515
44,0.0150460148170796,0.149986879254371,0.131566983167734,0.0670563624831593,0.047807313352863,0.12618413949752,0.020902169565579,0.0379901895972375,0.023470634524173,0.0877565176694786,0.0333710236010078,0.00376635812685516,0.137037283038468,0.0627759937348062,0.0584960212875206,0.125045999636656,0.164899367333364,0.0287894739803265,0.0751227721782904,0.0582563892967548,0.186297428878922,0.0454561433558179,0.0490802512328825,0.143011942862473,0.174505549218326,0.0935992658018214,0.0240797133836589,0.0172973222711692,0.0750627766394634,0.0824704864409762
