Location,Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper,Pretrain
L2,R16,R8,0.0325528680747912,0.0117760673396985,0.0866466573704789,-0.00248810103357558,0.067593837183158,Object
L2,R2,R16,0.0328218756642547,0.00429830480121385,2.91619901595393e-08,0.0200318022540991,0.0456119490744102,Object
L2,R2,R32,0.00943350372847683,0.00113292715196581,3.48864418061869e-09,0.00606235577314592,0.0128046516838077,Object
L2,R2,R4,0.0129785745603417,0.0220619252083948,1,-0.0526690833035315,0.0786262324242149,Object
L2,R2,R8,0.0653747437390459,0.0150007406283891,0.00092538404401953,0.0207384085518304,0.110011078926261,Object
L2,R32,R16,0.0233883719357778,0.00324874506598397,1.14347661458248e-07,0.0137213776655992,0.0330553662059565,Object
L2,R32,R2,-0.00943350372847683,0.00113292715196581,3.48864418061869e-09,-0.0128046516838077,-0.00606235577314592,Object
L2,R32,R4,0.00354507083186484,0.0214105951700119,1,-0.0601644836655828,0.0672546253293125,Object
L2,R32,R8,0.055941240010569,0.0142057664050779,0.00329553655146757,0.013670437084458,0.0982120429366801,Object
L2,R4,R16,0.019843301103913,0.0194363019956718,1,-0.0379915293335172,0.0776781315413432,Object
L2,R4,R2,-0.0129785745603417,0.0220619252083948,1,-0.0786262324242149,0.0526690833035315,Object
L2,R4,R32,-0.00354507083186484,0.0214105951700119,1,-0.0672546253293125,0.0601644836655828,Object
L2,R4,R8,0.0523961691787042,0.0103175652288812,9.77798041119169e-05,0.0216951317245449,0.0830972066328635,Object
L2,R8,R16,-0.0325528680747912,0.0117760673396985,0.0866466573704789,-0.067593837183158,0.00248810103357558,Object
L2,R8,R2,-0.0653747437390459,0.0150007406283891,0.00092538404401953,-0.110011078926261,-0.0207384085518304,Object
L2,R8,R32,-0.055941240010569,0.0142057664050779,0.00329553655146757,-0.0982120429366801,-0.013670437084458,Object
L2,R8,R4,-0.0523961691787042,0.0103175652288812,9.77798041119169e-05,-0.0830972066328635,-0.0216951317245449,Object
L3,R16,R2,-0.0176096647042401,0.000926824458117919,2.5724871419664e-20,-0.0203675316787525,-0.0148517977297277,Object
L3,R16,R32,-0.0070373243114373,0.000370385490075591,2.57248714195074e-20,-0.00813944661946568,-0.00593520200340893,Object
L3,R16,R4,0.0431509705041975,0.00374302809168446,3.92799348052978e-13,0.032013183333916,0.0542887576744789,Object
L3,R16,R8,0.0691455617593331,0.0079214932203262,1.03769029511156e-09,0.0455742971581327,0.0927168263605335,Object
L3,R2,R16,0.0176096647042401,0.000926824458117919,2.5724871419664e-20,0.0148517977297277,0.0203675316787525,Object
L3,R2,R32,0.0105723403928028,0.000556438968042232,2.57248714196129e-20,0.00891659572631905,0.0122280850592866,Object
L3,R2,R4,0.0607606352084376,0.00439811352811404,1.31563084643441e-15,0.0476735700764137,0.0738477003404615,Object
L3,R2,R8,0.0867552264635732,0.00844306432262687,1.17914872128754e-11,0.0616319703225553,0.111878482604591,Object
L3,R32,R16,0.0070373243114373,0.000370385490075591,2.57248714195074e-20,0.00593520200340893,0.00813944661946568,Object
L3,R32,R2,-0.0105723403928028,0.000556438968042232,2.57248714196129e-20,-0.0122280850592866,-0.00891659572631905,Object
L3,R32,R4,0.0501882948156348,0.0039919216630831,2.689845421187e-14,0.0383098977545412,0.0620666918767284,Object
L3,R32,R8,0.0761828860707704,0.00812126217981879,1.51528814097507e-10,0.0520171872041687,0.100348584937372,Object
L3,R4,R16,-0.0431509705041975,0.00374302809168446,3.92799348052978e-13,-0.0542887576744789,-0.032013183333916,Object
L3,R4,R2,-0.0607606352084376,0.00439811352811404,1.31563084643441e-15,-0.0738477003404615,-0.0476735700764137,Object
L3,R4,R32,-0.0501882948156348,0.0039919216630831,2.689845421187e-14,-0.0620666918767284,-0.0383098977545412,Object
L3,R4,R8,0.0259945912551357,0.00465620722913667,1.96582465576905e-05,0.0121395402460176,0.0398496422642537,Object
L3,R8,R16,-0.0691455617593331,0.0079214932203262,1.03769029511156e-09,-0.0927168263605335,-0.0455742971581327,Object
L3,R8,R2,-0.0867552264635732,0.00844306432262687,1.17914872128754e-11,-0.111878482604591,-0.0616319703225553,Object
L3,R8,R32,-0.0761828860707704,0.00812126217981879,1.51528814097507e-10,-0.100348584937372,-0.0520171872041687,Object
L3,R8,R4,-0.0259945912551357,0.00465620722913667,1.96582465576905e-05,-0.0398496422642537,-0.0121395402460176,Object
